time,language,instance_num
0.026999950408935547,C++,1
0.0980081558227539,Java,1
0.04155373573303223,JavaScript,1
0.005026340484619141,Python,1
0.007991552352905273,C++,2
0.10822534561157227,Java,2
0.05071711540222168,JavaScript,2
0.0020024776458740234,Python,2
0.006002187728881836,C++,3
0.08419036865234375,Java,3
0.04597735404968262,JavaScript,3
0.0010037422180175781,Python,3
0.005411863327026367,C++,4
0.08846473693847656,Java,4
0.04025602340698242,JavaScript,4
0.004003286361694336,Python,4
0.004258155822753906,C++,5
0.09754276275634766,Java,5
0.03330111503601074,JavaScript,5
0.0,Python,5
0.00471806526184082,C++,6
0.07709240913391113,Java,6
0.0385129451751709,JavaScript,6
0.0,Python,6
0.0050046443939208984,C++,7
0.08800315856933594,Java,7
0.04166722297668457,JavaScript,7
0.0030040740966796875,Python,7
0.004428386688232422,C++,8
0.07921338081359863,Java,8
0.039025068283081055,JavaScript,8
0.0020046234130859375,Python,8
0.005002737045288086,C++,9
0.08051252365112305,Java,9
0.03902029991149902,JavaScript,9
0.004007101058959961,Python,9
0.007999181747436523,C++,10
0.08368968963623047,Java,10
0.035013437271118164,JavaScript,10
0.0,Python,10
0.013008356094360352,C++,11
0.11589479446411133,Java,11
0.03900408744812012,JavaScript,11
0.0,Python,11
0.006072521209716797,C++,12
0.08899998664855957,Java,12
0.0420074462890625,JavaScript,12
0.0025103092193603516,Python,12
0.005017280578613281,C++,13
0.09359097480773926,Java,13
0.0411372184753418,JavaScript,13
0.00551295280456543,Python,13
0.006306648254394531,C++,14
0.08520221710205078,Java,14
0.04559206962585449,JavaScript,14
0.0015063285827636719,Python,14
0.006037235260009766,C++,15
0.0889279842376709,Java,15
0.04020285606384277,JavaScript,15
0.0030059814453125,Python,15
0.005998373031616211,C++,16
0.11440801620483398,Java,16
0.038275957107543945,JavaScript,16
0.0010042190551757812,Python,16
0.00614166259765625,C++,17
0.09153032302856445,Java,17
0.04245114326477051,JavaScript,17
0.001003265380859375,Python,17
0.00600123405456543,C++,18
0.09104275703430176,Java,18
0.043616294860839844,JavaScript,18
0.005003452301025391,Python,18
0.008002042770385742,C++,19
0.08403301239013672,Java,19
0.04230308532714844,JavaScript,19
0.004006147384643555,Python,19
0.004999876022338867,C++,20
0.09911465644836426,Java,20
0.03368997573852539,JavaScript,20
0.0,Python,20
0.008512258529663086,C++,21
0.10920882225036621,Java,21
0.031510114669799805,JavaScript,21
0.0,Python,21
0.008036613464355469,C++,22
